date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210227,NH,75166,22286.0,576446.0,,totalTestsViral,1451685,93.0,1114.0,,345.0,,,71324.0,2/27/2021 09:00,2021-02-27T09:00:00Z,02/27 04:00,1170,1114.0,,2021-02-27T09:00:00Z,1451685.0,,,52880.0,,,,629326.0,39267.0,,,37668.0,,,,,193551.0,,33,273,986,651612,15017,651612,,3,5,884ac178eff47fbed40069a629f9a14054ec8705,0,0,0,0,0,
20210227,NJ,786967,87403.0,9868082.0,,posNeg,10655049,1919.0,63664.0,404.0,,248.0,,,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,23238,63664.0,75331.0,2021-02-27T00:00:00Z,10567646.0,,,699564.0,20907.0,2331.0,,,,,,,,,,,,,34,4134,60415,10655049,64549,10655049,,46,104,db044f1829097659ab36bdeb72b6a9ddc456a966,0,0,0,0,0,
20210227,NM,184736,,2484829.0,,posNeg,2669565,226.0,13079.0,,,,,141833.0,2/26/2021 17:53,2021-02-26T17:53:00Z,02/26 12:53,3685,13079.0,,2021-02-26T17:53:00Z,2669565.0,,,,,,,,,,,,,,,,,,35,0,0,2669565,0,2669565,,0,0,6b07dbf7f5da3e60bdcffbf5a1966e36c22144b9,0,0,0,0,0,
20210227,NV,293488,,1115359.0,,totalTestEncountersViral,2712509,491.0,,115.0,,67.0,,,2/26/2021 00:00,2021-02-26T00:00:00Z,02/25 19:00,4957,,,2021-02-26T00:00:00Z,,,,293488.0,,,2712509.0,1408847.0,,,,,,,,,,,32,459,419,1408847,9597,1408847,,15,0,6a49ba04fa6ab6ac0197901ab7f8cff6f719cb06,0,0,0,0,0,
20210227,NY,1622865,,,,totalTestEncountersViral,37833195,5445.0,89995.0,1121.0,,753.0,,,2/26/2021 14:00,2021-02-26T14:00:00Z,02/26 09:00,38407,89995.0,145672.0,2021-02-26T14:00:00Z,,,,,,,37833195.0,,,,,,,,,,,,36,8141,0,1622865,285307,1622865,,86,0,14df6fa7cf3807751805766c1e1736d40c7f74d6,0,0,0,0,0,
20210227,OH,966154,137684.0,,,totalTestsViral,9994327,1204.0,50197.0,313.0,7130.0,201.0,,907410.0,2/27/2021 14:00,2021-02-27T14:00:00Z,02/27 09:00,17237,50197.0,,2021-02-27T14:00:00Z,9994327.0,856671.0,,828470.0,14660.0,2577.0,,,,,,,,,,,1686131.0,83949.0,39,1774,0,966154,54040,966154,,54,79,1acb2db5451741ea6e5a16467b26378251538817,0,0,0,0,0,
20210227,OK,423802,,3084829.0,2965.0,posNeg,3508631,484.0,23909.0,150.0,,,,406494.0,,,,4379,23909.0,,,3471392.0,386563.0,3084829.0,,,,,,148204.0,21760.0,,,,,,,,,40,779,6841,3511596,7620,3508631,,59,30,1e832ae05de52b5a811b2bf4140ab9d436944524,0,0,0,0,0,
20210227,OR,154878,,,,totalTestsViral,3564120,177.0,8570.0,35.0,,16.0,,,2/26/2021 03:01,2021-02-26T03:01:00Z,02/25 22:01,2206,8570.0,,2021-02-26T03:01:00Z,3564120.0,202565.0,3361555.0,,,,,,,,,,,,,,,,41,324,0,154878,17803,154878,,2,19,bc8ca9f7df45b1db5f1d50eccdc0d0d219ffca67,0,0,0,0,0,
20210227,PA,929697,129657.0,3876216.0,,totalTestEncountersViral,10378789,1785.0,,386.0,,209.0,,836727.0,2/27/2021 12:00,2021-02-27T12:00:00Z,02/27 07:00,23937,,,2021-02-27T12:00:00Z,,,,800040.0,,,10378789.0,4676256.0,,,,,,,,,,,42,3361,12281,4805913,65055,4805913,,0,0,7bedbe327824b5fbe08b72edd659b18e18d6381a,0,0,0,0,0,
20210227,PR,100044,7782.0,305972.0,,posNeg,406016,174.0,,30.0,,19.0,,90738.0,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,2032,,,2021-02-27T00:00:00Z,415664.0,20103.0,395291.0,92262.0,1729.0,303.0,,,,80326.0,,,,,,,,,72,184,0,406016,184,406016,,9,0,6acb206a5a5f5d16f17b5fba3caa14ab6d4dc5c4,0,0,0,0,0,
20210227,RI,125622,,665579.0,,totalTestEncountersViral,2968641,168.0,8900.0,34.0,,19.0,,,2/26/2021 13:00,2021-02-26T13:00:00Z,02/26 08:00,2502,8900.0,7731.0,2021-02-26T13:00:00Z,,149782.0,2818859.0,,,,2968641.0,791201.0,,,,,,,,,,,44,0,0,791201,0,791201,,0,0,ddcde329d8b69ccfe1291c793edb890dd7570698,0,0,0,0,0,
20210227,SC,515072,72115.0,4485388.0,,posNeg,5000460,865.0,20340.0,221.0,,109.0,,230793.0,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,8498,20340.0,,2021-02-25T23:59:00Z,4928345.0,570902.0,4357443.0,442957.0,7546.0,952.0,,,132098.0,27010.0,105088.0,,,,,,855067.0,107150.0,45,1777,32242,5000460,34019,5000460,,21,65,214dba0bbb504b7f56ce06abde19fc35c882d1da,0,0,0,0,0,
20210227,SD,112293,12549.0,309734.0,,totalTestsPeopleViral,422027,91.0,6610.0,22.0,,10.0,,108497.0,2/26/2021 14:00,2021-02-26T14:00:00Z,02/26 09:00,1886,6610.0,,2021-02-26T14:00:00Z,969950.0,,,99744.0,,,,422027.0,,,,,,,,,,,46,186,553,422027,739,422027,,7,19,75748373158f45a4e451312ff21d454a334b4d47,0,0,0,0,0,
20210227,TN,773887,125415.0,6120966.0,,posNeg,6894853,1038.0,18586.0,251.0,,124.0,,748739.0,2/27/2021 15:00,2021-02-27T15:00:00Z,02/27 10:00,11393,18586.0,,2021-02-27T15:00:00Z,6769438.0,747859.0,6021579.0,648472.0,9152.0,2241.0,,,,,,,,,,,1366306.0,137259.0,47,1374,14836,6894853,16210,6894853,,16,33,ca0d379eff3ea50738e0d9971485d4e9083b4515,0,0,0,0,0,
20210227,TX,2640209,356150.0,,,totalTestsViral,19488683,5912.0,,1813.0,,,,2417585.0,2/27/2021 13:15,2021-02-27T13:15:00Z,02/27 08:15,42739,,,2021-02-27T13:15:00Z,19488683.0,2594731.0,,2284059.0,,,,,1011849.0,151216.0,,,,,,,2451395.0,198869.0,48,11073,0,2640209,62170,2640209,,164,0,03d7ae2f3b717401afd4fa719210023d50faae4c,0,0,0,0,0,
20210227,UT,370770,,1532559.0,,totalTestsViral,2847706,252.0,14664.0,89.0,2308.0,,813.0,351396.0,2/27/2021 10:41,2021-02-27T10:41:00Z,02/27 05:41,1929,14664.0,,2021-02-27T10:41:00Z,2847706.0,342802.0,2504904.0,,,,,1846405.0,,,,,,,355021.0,56300.0,951137.0,58739.0,49,686,3465,1903329,8715,1903329,,22,36,be3dff3de0dac7b42fb0d50a8fa8476740e95d76,0,0,0,0,0,
20210227,VA,574314,121650.0,,182.0,totalTestEncountersViral,5879000,1374.0,24091.0,303.0,,185.0,,,2/26/2021 17:00,2021-02-26T17:00:00Z,02/26 12:00,8382,24091.0,46748.0,2021-02-26T17:00:00Z,,552892.0,,452664.0,7189.0,1193.0,5879000.0,,221033.0,27768.0,,,,,,,1375123.0,121312.0,51,1675,0,574496,24347,574314,,185,113,f2cd2f6e34ef39ed6ebc32b9c1c1b697c44e31d7,0,0,0,0,0,
20210227,VI,2646,,45225.0,110.0,posNeg,47871,,,,,,,2511.0,2/27/2021 12:37,2021-02-27T12:37:00Z,02/27 07:37,25,,,2021-02-27T12:37:00Z,,,,,25.0,,,47981.0,,,,,,,,,,,78,10,151,47981,161,47871,,0,0,b03b9b705d480e2ef25b7b5bf1c2cf6ac41c1730,0,0,0,0,0,
20210227,VT,15098,431.0,315231.0,,totalTestsViral,1059706,30.0,,4.0,,,,12436.0,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,204,,,2021-02-26T23:59:00Z,1059706.0,,,14667.0,,,,329898.0,,,,,,,,,,,50,135,933,330329,10501,330329,,0,0,6da6dd762c794cdf407f81f3373074bba35bf0e8,0,0,0,0,0,
20210227,WA,338822,18505.0,,,totalTestEncountersViral,5213424,498.0,19275.0,135.0,,59.0,,,2/26/2021 02:59,2021-02-26T02:59:00Z,02/25 21:59,4956,19275.0,,2021-02-26T02:59:00Z,,320250.0,4892820.0,320317.0,,,5213424.0,,,,,,,,,,,,53,1169,0,338822,20174,338822,,14,51,357c28aa54fd824756c92e1b0f551896020373bf,0,0,0,0,0,
20210227,WI,616886,53390.0,2623498.0,53.0,totalTestEncountersViral,6886832,304.0,26088.0,89.0,2254.0,,,548884.0,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,7014,26088.0,,2021-02-27T00:00:00Z,,,,563496.0,6412.0,602.0,6886832.0,3186994.0,,,,,,,,,,,55,868,3201,3240437,26314,3240384,,15,75,0221da674d36eab094cbd554334d320178ba8f82,0,0,0,0,0,
20210227,WV,131580,26482.0,2062808.0,,posNeg,2194388,237.0,,65.0,,37.0,,121797.0,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,2297,,,2021-02-26T23:59:00Z,2167906.0,,,105098.0,1952.0,345.0,,,32481.0,,,,,,,,,,54,346,9725,2194388,10071,2194388,,6,0,29ef92867aa0527807a39bb36061ebc8454318c6,0,0,0,0,0,
20210227,WY,54350,8306.0,180826.0,,totalTestsViral,636716,25.0,1381.0,,,,,52998.0,2/26/2021 00:00,2021-02-26T00:00:00Z,02/25 19:00,671,1381.0,,2021-02-26T00:00:00Z,636716.0,38734.0,590006.0,46044.0,,,,226870.0,,,,,,,,,,,56,0,0,235176,0,235176,,0,0,1ecfc50f307fa3847adfb8bc0c2c0afb8567a13c,0,0,0,0,0,
