date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210211,NH,69612,20052.0,563650.0,,totalTestsViral,1341481,138.0,1069.0,,334.0,,,65349.0,B,2/11/2021 09:00,2021-02-11T09:00:00Z,02/11 04:00,1117,1069.0,2021-02-11T09:00:00Z,1341481.0,,,49560.0,,,,613210.0,38497.0,,,36974.0,,,,,154952.0,,33,365,1721,633262,11049,633262,1,4,8c6767dc9d17b2b56e4117b24829104371565af7,0,0,0,0,0,
20210211,NJ,736330,79426.0,9220799.0,,posNeg,9957129,2656.0,62108.0,519.0,,348.0,,71143.0,A,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,22329,62108.0,2021-02-11T00:00:00Z,9877703.0,,,656904.0,20083.0,2246.0,,,,,,,,,,,,,34,3656,36846,9957129,40502,9957129,79,156,eab91b5f8e6fc21e98b4ee1a781e56c35a8cb423,0,0,0,0,0,
20210211,NM,179323,,2307279.0,,posNeg,2486602,371.0,12559.0,,,,,116518.0,A,2/11/2021 17:50,2021-02-11T17:50:00Z,02/11 12:50,3479,12559.0,2021-02-11T17:50:00Z,2486602.0,,,,,,,,,,,,,,,,,,35,533,27821,2486602,28354,2486602,18,2,6e2e6f6f417140188ead77a5842a5f99688f4a0f,0,0,0,0,0,
20210211,NV,286387,,1078467.0,,totalTestEncountersViral,2582839,879.0,,223.0,,147.0,,,A+,2/10/2021 00:00,2021-02-10T00:00:00Z,02/09 19:00,4637,,2021-02-10T00:00:00Z,,,,286387.0,,,2582839.0,1364854.0,,,,,,,,,,,32,592,2476,1364854,9894,1364854,55,0,c273b17d5aa5b5689d74c4ab1d4661db2b63f130,0,0,0,0,0,
20210211,NY,1504286,,,,totalTestEncountersViral,34311547,7342.0,89995.0,1402.0,,941.0,,135657.0,A,2/10/2021 14:00,2021-02-10T14:00:00Z,02/10 09:00,36743,89995.0,2021-02-10T14:00:00Z,,,,,,,34311547.0,,,,,,,,,,,,36,10099,0,1504286,285499,1504286,124,0,9faa72f23166ab2cd74678c65336b34cfd587e9b,0,0,0,0,0,
20210211,OH,931437,125466.0,,,totalTestsViral,9469638,1862.0,48269.0,479.0,6908.0,321.0,,848058.0,A+,2/11/2021 14:00,2021-02-11T14:00:00Z,02/11 09:00,12577,48269.0,2021-02-11T14:00:00Z,9469638.0,831251.0,,805971.0,11104.0,1473.0,,,,,,,,,,,1431133.0,76473.0,39,2806,0,931437,42875,931437,721,189,090dd00cee0162aa7d8dfba11cc34ac995ee8308,0,0,0,0,0,
20210211,OK,409401,,2934303.0,3827.0,posNeg,3343704,807.0,23020.0,240.0,,,,382342.0,A+,,,,3948,23020.0,,3317797.0,375771.0,2934303.0,,,,,,139139.0,18634.0,,,,,,,,,40,1677,14947,3347531,16624,3343704,48,90,0fdc0f3f1c03559bbb52fa4bb24ddeed9d21f892,0,0,0,0,0,
20210211,OR,149082,,,,totalTestsViral,3364377,241.0,8107.0,57.0,,30.0,,,A+,2/10/2021 03:01,2021-02-10T03:01:00Z,02/09 22:01,2056,8107.0,2021-02-10T03:01:00Z,3364377.0,196002.0,3168375.0,,,,,,,,,,,,,,,,41,1150,0,149082,35379,149082,25,31,8d7a26df2287c671219ed993d73136fd297f82d7,0,0,0,0,0,
20210211,PA,884269,119521.0,3735776.0,,totalTestEncountersViral,9685927,2687.0,,538.0,,301.0,,760471.0,A+,2/11/2021 12:00,2021-02-11T12:00:00Z,02/11 07:00,22860,,2021-02-11T12:00:00Z,,,,764748.0,,,9685927.0,4500524.0,,,,,,,,,,,42,3978,10540,4620045,51505,4620045,115,0,40fb6bb555321b09cf51fef4fa458aa80f405c3b,0,0,0,0,0,
20210211,PR,96636,7222.0,305972.0,,posNeg,402608,261.0,,47.0,,47.0,,86310.0,B,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,1902,,2021-02-11T00:00:00Z,415664.0,20103.0,395291.0,89414.0,1607.0,295.0,,,,73069.0,,,,,,,,,72,142,0,402608,142,402608,5,0,cc8bcf70578da1a4fb0b7933bd8f959e915d2e13,0,0,0,0,0,
