Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
San Marino,7808,99,0.0,7709.0,2021-12-31 04:21:50,43.9424,12.4578
Sao Tome and Principe,3877,57,0.0,3820.0,2021-12-31 04:21:50,0.1864,6.6131
Saudi Arabia,555417,8875,0.0,546542.0,2021-12-31 04:21:50,23.885942,45.079162
Senegal,74870,1890,0.0,72980.0,2021-12-31 04:21:50,14.4974,-14.4524
Serbia,1297147,12688,0.0,1284459.0,2021-12-31 04:21:50,44.0165,21.0059
Seychelles,24788,134,0.0,24654.0,2021-12-31 04:21:50,-4.6796,55.492
Sierra Leone,6983,123,0.0,6860.0,2021-12-31 04:21:50,8.460555000000001,-11.779889
Singapore,279061,827,0.0,278234.0,2021-12-31 04:21:50,1.2833,103.8333
Slovakia,1367361,16598,0.0,1350763.0,2021-12-31 04:21:50,48.669,19.699
Slovenia,462152,5583,0.0,456569.0,2021-12-31 04:21:50,46.1512,14.9955
Solomon Islands,24,0,0.0,24.0,2021-12-31 04:21:50,-9.6457,160.1562
Somalia,23532,1333,0.0,22199.0,2021-12-31 04:21:50,5.152149,46.199616
South Africa,3446532,91061,0.0,3355471.0,2021-12-31 04:21:50,-30.5595,22.9375
South Sudan,15242,135,0.0,15107.0,2021-12-31 04:21:50,6.877000000000002,31.307
Spain,6294745,89405,0.0,6205340.0,2021-12-31 04:21:50,39.76369252631579,-3.6827658947368427
Sri Lanka,586746,14962,0.0,571784.0,2021-12-31 04:21:50,7.873054,80.77179699999998
Sudan,46518,3331,0.0,43187.0,2021-12-31 04:21:50,12.8628,30.2176
Summer Olympics 2020,865,0,0.0,865.0,2021-12-31 04:21:50,35.6491,139.7737
Suriname,52269,1189,0.0,51080.0,2021-12-31 04:21:50,3.9193,-56.0278
Sweden,1314784,15310,0.0,1299474.0,2021-12-31 04:21:50,59.68064285714286,15.736519047619048
Switzerland,1313628,12206,0.0,1301422.0,2021-12-31 04:21:50,46.8182,8.2275
Syria,50243,2893,0.0,47350.0,2021-12-31 04:21:50,34.802075,38.99681500000001
Taiwan*,16988,850,0.0,16138.0,2021-12-31 04:21:50,23.7,121.0
Tajikistan,17493,125,0.0,17368.0,2021-12-31 04:21:50,38.861,71.2761
Tanzania,29306,737,0.0,28569.0,2021-12-31 04:21:50,-6.369028,34.888822
Thailand,2220324,21672,0.0,2198652.0,2021-12-31 04:21:50,15.870032,100.992541
Timor-Leste,19833,122,0.0,19711.0,2021-12-31 04:21:50,-8.874217,125.727539
Togo,29416,246,0.0,29170.0,2021-12-31 04:21:50,8.6195,0.8248
Tonga,1,0,0.0,1.0,2021-12-31 04:21:50,-21.179,-175.1982
Trinidad and Tobago,91320,2850,0.0,88470.0,2021-12-31 04:21:50,10.6918,-61.2225
Tunisia,724680,25556,0.0,699124.0,2021-12-31 04:21:50,33.886917,9.537499
Turkey,9443734,82198,0.0,9361536.0,2021-12-31 04:21:50,38.9637,35.2433
US,54306755,824301,0.0,53482454.0,2021-12-31 04:21:50,37.934268715377186,-91.44408328044888
Uganda,139079,3291,0.0,135788.0,2021-12-31 04:21:50,1.373333,32.290275
Ukraine,3840041,101847,0.0,3738194.0,2021-12-31 04:21:50,48.845429629629635,30.781274074074073
United Arab Emirates,759511,2162,0.0,757349.0,2021-12-31 04:21:50,23.424076,53.847818
United Kingdom,12820359,148893,0.0,12671466.0,2021-12-31 04:21:50,28.164646533333332,-33.966497733333334
Uruguay,411658,6169,0.0,405489.0,2021-12-31 04:21:50,-32.5228,-55.7658
Uzbekistan,198769,1485,0.0,197284.0,2021-12-31 04:21:50,41.377491,64.585262
Vanuatu,7,1,0.0,6.0,2021-12-31 04:21:50,-15.3767,166.9592
Venezuela,444411,5324,0.0,439087.0,2021-12-31 04:21:50,6.4238,-66.5897
Vietnam,1714742,32168,0.0,1682574.0,2021-12-31 04:21:50,14.058324,108.277199
West Bank and Gaza,469748,4919,0.0,464829.0,2021-12-31 04:21:50,31.9522,35.2332
Yemen,10126,1984,0.0,8142.0,2021-12-31 04:21:50,15.552727,48.516388
Zambia,249193,3730,0.0,245463.0,2021-12-31 04:21:50,-13.133897,27.849332
Zimbabwe,211728,4997,0.0,206731.0,2021-12-31 04:21:50,-19.015438,29.154857
