Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Sudan,29933,1849,22208,5876,2021-02-12 05:23:29,12.8628,30.2176
Suriname,8765,166,8155,444,2021-02-12 05:23:29,3.9193,-56.0278
Sweden,604577,12370,0,592207,2021-02-12 05:23:29,59.68064285714284,15.736519047619048
Switzerland,539474,9729,317600,212145,2021-02-12 05:23:29,46.8182,8.2275
Syria,14724,968,8438,5318,2021-02-12 05:23:29,34.802075,38.99681500000001
Taiwan*,936,9,859,68,2021-02-12 05:23:29,23.7,121.0
Tajikistan,13308,90,13218,0,2021-02-12 05:23:29,38.861,71.2761
Tanzania,509,21,183,305,2021-02-12 05:23:29,-6.369028,34.888822
Thailand,24279,80,20210,3989,2021-02-12 05:23:29,15.870032,100.992541
Timor-Leste,100,0,62,38,2021-02-12 05:23:29,-8.874217,125.727539
Togo,5687,80,4789,818,2021-02-12 05:23:29,8.6195,0.8248
Trinidad and Tobago,7632,136,7318,178,2021-02-12 05:23:29,10.6918,-61.2225
Tunisia,220478,7429,180830,32219,2021-02-12 05:23:29,33.886917,9.537499
Turkey,2564427,27187,2453096,84144,2021-02-12 05:23:29,38.9637,35.2433
US,27390465,475291,0,26915174,2021-02-12 05:23:29,37.93630258312956,-91.37900051297339
Uganda,39942,328,14470,25144,2021-02-12 05:23:29,1.373333,32.290275
Ukraine,1302811,25330,1138136,139345,2021-02-12 05:23:29,48.84542962962963,30.781274074074073
United Arab Emirates,339667,974,319787,18906,2021-02-12 05:23:29,23.424076,53.847818000000004
United Kingdom,4010376,115748,10598,3884030,2021-02-12 05:23:29,30.74402842857143,-35.367254714285714
Uruguay,47254,524,41426,5304,2021-02-12 05:23:29,-32.5228,-55.7658
Uzbekistan,79303,622,77726,955,2021-02-12 05:23:29,41.377491,64.585262
Vanuatu,1,0,1,0,2021-02-12 05:23:29,-15.3767,166.9592
Venezuela,131828,1260,123811,6757,2021-02-12 05:23:29,6.4238,-66.5897
Vietnam,2140,35,1528,577,2021-02-12 05:23:29,14.058323999999999,108.277199
West Bank and Gaza,165535,1910,154727,8898,2021-02-12 05:23:29,31.9522,35.2332
Yemen,2134,616,1428,90,2021-02-12 05:23:29,15.552726999999999,48.516388
Zambia,66598,914,59989,5695,2021-02-12 05:23:29,-13.133897,27.849332
Zimbabwe,34864,1364,29471,4029,2021-02-12 05:23:29,-19.015438,29.154857
